bet_id,scanned_at,commence_time,sport,event,home_team,away_team,selection,soft_book,soft_odds,sharp_odds,true_prob,ev_pct,books_agree,stake,status,closing_odds,clv_pct,profit
1,2026-06-06T22:00:37+00:00,2026-06-22T01:00:00Z,soccer_fifa_world_cup,New Zealand vs Egypt,New Zealand,Egypt,New Zealand,gtbets,5.35,4.23,0.2132,14.06,29,8.08,lost,5.95,-10.08,-8.08
2,2026-06-06T22:00:39+00:00,2026-06-13T12:00:00Z,soccer_finland_veikkausliiga,Ilves Tampere vs TPS Turku,Ilves Tampere,TPS Turku,TPS Turku,betrivers,4.2,3.53,0.2655,11.5,10,8.98,lost,4.22,-0.47,-8.98
3,2026-06-06T22:00:37+00:00,2026-06-19T19:00:00Z,soccer_fifa_world_cup,USA vs Australia,USA,Australia,Australia,unibet_nl,5.1,4.28,0.2094,6.81,11,4.15,lost,5.3,-3.77,-4.15
4,2026-06-06T22:00:39+00:00,2026-06-12T18:45:00Z,soccer_league_of_ireland,Derry City vs Bohemians,Derry City,Bohemians,Bohemians,leovegas,2.65,2.38,0.4018,6.47,10,9.8,lost,2.49,6.43,-9.8
5,2026-06-06T22:00:37+00:00,2026-06-25T01:00:00Z,soccer_fifa_world_cup,Czech Republic vs Mexico,Czech Republic,Mexico,Mexico,gtbets,1.95,1.76,0.5449,6.25,20,16.46,won,1.75,11.43,15.64
6,2026-06-06T22:00:37+00:00,2026-06-23T17:00:00Z,soccer_fifa_world_cup,Portugal vs Uzbekistan,Portugal,Uzbekistan,Portugal,gtbets,1.32,1.22,0.7998,5.57,6,20.0,won,1.16,13.79,6.4
7,2026-06-06T22:00:37+00:00,2026-06-27T21:00:00Z,soccer_fifa_world_cup,Croatia vs Ghana,Croatia,Ghana,Croatia,gtbets,1.74,1.6,0.6018,4.72,11,15.93,won,1.82,-4.4,11.79
8,2026-06-06T22:00:37+00:00,2026-06-21T00:00:00Z,soccer_fifa_world_cup,Ecuador vs Curaçao,Ecuador,Curaçao,Ecuador,gtbets,1.27,1.19,0.8224,4.45,5,20.0,lost,1.18,7.63,-20.0
9,2026-06-06T22:00:37+00:00,2026-06-26T19:00:00Z,soccer_fifa_world_cup,Senegal vs Iraq,Senegal,Iraq,Senegal,gtbets,1.53,1.42,0.6821,4.36,5,20.0,won,1.24,23.39,10.6
10,2026-06-06T22:00:37+00:00,2026-06-25T01:00:00Z,soccer_fifa_world_cup,South Africa vs South Korea,South Africa,South Korea,South Korea,casumo,2.08,1.91,0.5011,4.24,18,9.8,lost,1.72,20.93,-9.8
